unit_code,unit_name,unit_type,parent_code,is_temp_code
H101000,영일중대학,college,,
H802000,글로벌비즈니스대학,college,,
H810000,글로컬창의융합대학,college,,
H801000,글로벌인문융합대학,college,,
H911000,글로벌IT대학,college,,
H200010,아시아대학,college,,
H300010,사회과학대학,college,,
H400010,상경대학,college,,
H100010,유럽미주대학,college,,
H500010,IT대학,college,,
H500020,디지털미디어·IT대학,college,,
H600010,International College,college,,
HMG0100,G2(영·중)융합학부,department,H101000,
HIB0100,경영학부,department,H802000,
HJF0100,경제금융학과,department,H802000,
HHC0100,경찰정보보호학부,department,H810000,
HII0100,국제무역·마케팅학부,department,H802000,
HJB0100,국제비서학과,department,H802000,
HMI0100,국제학부,department,H810000,
HEG0100,동남아창의융합학부,department,H801000,
HOA0100,러시아·터키중앙아시아학부,department,H801000,
HIA0100,사회복지학과,department,H810000,
HLC0100,스포츠산업학부,department,H810000,
HFG0100,아랍지역학과,department,H801000,
HGC1100,역사관광·외교학부,department,H801000,
HMH0100,영상콘텐츠융합학과,department,H810000,
HAA0100,영어학부,department,H101000,
HBH0100,유럽지역통상학과,department,H801000,
HBF0200,유럽학부,department,H801000,
HFE0100,인도학부,department,H801000,
HCA4100,일본어창의융합학부,department,H101000,
HKJ0100,임베디드IT학부,department,H911000,
HKK0100,전자로봇공학과,department,H911000,
HDA2100,중국학부,department,H101000,
HNA0100,중남미학부,department,H801000,
HKL0100,컴퓨터소프트웨어학부,department,H911000,
HMD0100,파이데이아창의인재학과,department,H801000,
HGF0100,한국어문화학부,department,H801000,
HBA1000,한국어문화학부,department,H200010,
HBH1000,인도학과,department,H200010,
HCE1000,글로벌인재학부,department,H300010,
HCH1000,정보보호학과,department,H300010,
HDB1000,세무회계학과,department,H400010,
HAJ1000,미주비즈니스학과,department,H100010,
HDG1000,호텔·관광·컨벤션학부,department,H400010,
HEC1000,전자로봇공학과,department,H500010,
HAB1000,프랑스어과,department,H100010,
HAE1000,포르투갈(브라질)어과,department,H100010,
HAF1000,이탈리아어과,department,H100010,
HAI1000,유럽지역통상학과,department,H100010,
HBD1000,태국어과,department,H200010,
HBE1000,인도네시아·말레이시아학과,department,H200010,
HBF1000,베트남어과,department,H200010,
HBG1000,미얀마어과,department,H200010,
HBI1000,아랍학과,department,H200010,
HAH1000,터키·중앙아시아어과,department,H100010,
HBQ1000,인도지역통상학과,department,H200010,
HBJ1000,G2융합학과,department,H200010,
HCD1000,국제학부,department,H300010,
